# T03 PARKED per-point records -- PROVISIONAL, pending T27 reload + target-row generation.
# One row per known degree-1 rational point on an UNMAPPED AL-quotient curve.
# When the curve row exists, set curve_label from the join key and copy_from the
# shimcurve_points columns (degree=1, residue_field=1.1.1.1, coordinates as given).
# coordinates jsonb = {"<model_type>":["a:b:c"]}; model_type = T02 model whose
# number_variables == coordinate arity.
old_label|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|arity|model_type|degree|residue_field|coordinates
22.5-[1,2,11,22]|22|110|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["3:3:1"]}
22.5-[1,2,11,22]|22|110|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["3:-7:1"]}
22.5-[1,2,11,22]|22|110|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["13:43:1"]}
22.5-[1,2,5,10]|22|110|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
22.5-[1,5,11,55]|22|110|1|1|1,5,11,55|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
22.5-[1,55]|22|110|1|1|1,55|3|3|5|1|1.1.1.1|{"5":["2:-10:1"]}
22.5-[1,55]|22|110|1|1|1,55|3|3|5|1|1.1.1.1|{"5":["-2:-10:1"]}
22.3-[1,2,11,22]|22|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["-17/4:17/8:1"]}
22.3-[1,2,11,22]|22|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["16:73:1"]}
22.3-[1,2,11,22]|22|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["4:-35:1"]}
22.3-[1,2,11,22]|22|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["-2:-17:1"]}
22.3-[1,2,11,22]|22|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["16:-89:1"]}
22.3-[1,2,11,22]|22|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["-2:19:1"]}
22.3-[1,2,11,22]|22|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["4:31:1"]}
22.3-[1,2,11,22]|22|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
22.3-[1,2,11,22]|22|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["70:-629:1"]}
22.3-[1,2,11,22]|22|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["70:559:1"]}
22.3-[1,2,3,6]|22|66|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["19/4:-23/8:1"]}
22.3-[1,2,3,6]|22|66|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
22.3-[1,22]|22|66|1|1|1,22|2|3|5|1|1.1.1.1|{"5":["3:-19:2"]}
22.3-[1,22]|22|66|1|1|1,22|2|3|5|1|1.1.1.1|{"5":["0:1:1"]}
22.3-[1,22]|22|66|1|1|1,22|2|3|5|1|1.1.1.1|{"5":["0:-2:1"]}
22.3-[1,22]|22|66|1|1|1,22|2|3|5|1|1.1.1.1|{"5":["1:-3:1"]}
22.3-[1,22]|22|66|1|1|1,22|2|3|5|1|1.1.1.1|{"5":["-1:-3:2"]}
22.3-[1,22]|22|66|1|1|1,22|2|3|5|1|1.1.1.1|{"5":["1:0:1"]}
22.3-[1,6,22,33]|22|66|1|1|1,6,22,33|1|3|5|1|1.1.1.1|{"5":["6:13:1"]}
22.3-[1,6,22,33]|22|66|1|1|1,6,22,33|1|3|5|1|1.1.1.1|{"5":["0:4:1"]}
22.3-[1,6,22,33]|22|66|1|1|1,6,22,33|1|3|5|1|1.1.1.1|{"5":["0:-5:1"]}
