old_label,D,M,discB,discO,deg_mu,level,al_set,al_gens,n_al,is_trivial_quotient,is_full_star,hall_divisors_DM,al_all_hall,has_identity_1,in_models,model_dup_count,in_points,pt_genus,pt_count,pt_M,coords
"10.11-[1,55]",10,11,10,110,1,1,"1,55",55,2,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,3,2,11,"{[ -1, 1, 1 ],[ 1, 0, 0 ]}"
"10.11-[1,110]",10,11,10,110,1,1,"1,110",110,2,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,0,infinite,11,[]
"10.11-[1,2,5,10]",10,11,10,110,1,1,"1,2,5,10","2,5,10",4,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,1,1,11,"{[ 0, 1, 0 ]}"
"10.11-[1,2,11,22]",10,11,10,110,1,1,"1,2,11,22","2,11,22",4,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,1,1,11,"{[ 0, 1, 0 ]}"
"10.11-[1,2,55,110]",10,11,10,110,1,1,"1,2,55,110","2,55,110",4,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,0,infinite,11,[]
"10.11-[1,5,11,55]",10,11,10,110,1,1,"1,5,11,55","5,11,55",4,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,2,3,11,"{[ 0, 0, 1 ],[ 8, -36, 1 ],[ 1, 0, 0 ]}"
"10.11-[1,5,22,110]",10,11,10,110,1,1,"1,5,22,110","5,22,110",4,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,0,infinite,11,[]
"10.11-[1,10,11,110]",10,11,10,110,1,1,"1,10,11,110","10,11,110",4,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,0,infinite,11,[]
"10.11-[1,10,22,55]",10,11,10,110,1,1,"1,10,22,55","10,22,55",4,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,1,3,11,"{[ 4, -8, 1 ],[ 4, 3, 1 ],[ 0, 1, 0 ]}"
"10.11-[1,2,5,10,11,22,55,110]",10,11,10,110,1,1,"1,2,5,10,11,22,55,110","2,5,10,11,22,55,110",8,False,True,"1,2,5,10,11,22,55,110",True,True,True,1,True,0,infinite,11,[]
10.13-[1],10,13,10,130,1,1,1,,1,True,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,3,0,13,{}
"10.13-[1,2]",10,13,10,130,1,1,"1,2",2,2,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,2,0,13,{}
"10.13-[1,5]",10,13,10,130,1,1,"1,5",5,2,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,2,0,13,{}
"10.13-[1,10]",10,13,10,130,1,1,"1,10",10,2,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,1,0,13,{}
"10.13-[1,13]",10,13,10,130,1,1,"1,13",13,2,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,1,0,13,{}
"10.13-[1,26]",10,13,10,130,1,1,"1,26",26,2,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,2,0,13,{}
"10.13-[1,65]",10,13,10,130,1,1,"1,65",65,2,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,0,0,13,[]
"10.13-[1,130]",10,13,10,130,1,1,"1,130",130,2,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,1,2,13,NA
"10.13-[1,2,5,10]",10,13,10,130,1,1,"1,2,5,10","2,5,10",4,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,1,2,13,"{[ 131/4, -135/8, 1 ],[ 0, 1, 0 ]}"
"10.13-[1,2,13,26]",10,13,10,130,1,1,"1,2,13,26","2,13,26",4,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,1,4,13,"{[ 43/4, -47/8, 1 ],[ 27, -144, 1 ],[ 0, 1, 0 ],[ 27, 116, 1 ]}"
"10.13-[1,2,65,130]",10,13,10,130,1,1,"1,2,65,130","2,65,130",4,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,0,infinite,13,[]
"10.13-[1,5,13,65]",10,13,10,130,1,1,"1,5,13,65","5,13,65",4,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,0,infinite,13,[]
"10.13-[1,5,26,130]",10,13,10,130,1,1,"1,5,26,130","5,26,130",4,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,1,2,13,NA
"10.13-[1,10,13,130]",10,13,10,130,1,1,"1,10,13,130","10,13,130",4,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,0,infinite,13,[]
"10.13-[1,10,26,65]",10,13,10,130,1,1,"1,10,26,65","10,26,65",4,False,False,"1,2,5,10,13,26,65,130",True,True,True,1,True,0,infinite,13,[]
"10.13-[1,2,5,10,13,26,65,130]",10,13,10,130,1,1,"1,2,5,10,13,26,65,130","2,5,10,13,26,65,130",8,False,True,"1,2,5,10,13,26,65,130",True,True,True,1,True,0,infinite,13,[]
10.19-[1],10,19,10,190,1,1,1,,1,True,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,5,0,19,{}
