# T03 PARKED gps point-count updates -- PROVISIONAL, pending T27 reload + target-row generation.
# Per-curve num_known_degree1_points / pointless for UNMAPPED AL-quotient curves.
# coords_na=t: the count is known but the source stored coordinates as 'NA' (no point rows).
old_label|park_reason|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|num_known_degree1_points|num_known_degree1_noncm_points|pointless|coords_na
35.1-[1,5]|PENDING_GENERATION|35|35|1|1|1,5|2|3|\N|f|f
35.1-[1,7]|PENDING_GENERATION|35|35|1|1|1,7|1|3|\N|f|f
38.1-[1,19]|PENDING_GENERATION|38|38|1|1|1,19|1|3|\N|f|f
38.1-[1,2,19,38]|PENDING_GENERATION|38|38|1|1|1,2,19,38|0|\N|\N|f|f
38.1-[1,2]|PENDING_GENERATION|38|38|1|1|1,2|1|1|\N|f|f
38.1-[1,38]|PENDING_GENERATION|38|38|1|1|1,38|0|\N|\N|f|f
39.1-[1,13]|PENDING_GENERATION|39|39|1|1|1,13|1|0|0|\N|f
39.1-[1,3,13,39]|PENDING_GENERATION|39|39|1|1|1,3,13,39|0|\N|\N|f|f
39.1-[1,39]|PENDING_GENERATION|39|39|1|1|1,39|0|\N|\N|f|f
39.1-[1,3]|PENDING_GENERATION|39|39|1|1|1,3|2|0|0|\N|f
39.2-[1,13]|PENDING_GENERATION|39|78|1|1|1,13|3|0|0|\N|f
39.2-[1,2,13,26]|PENDING_GENERATION|39|78|1|1|1,2,13,26|2|2|\N|f|f
39.2-[1,2,3,6,13,26,39,78]|PENDING_GENERATION|39|78|1|1|1,2,3,6,13,26,39,78|0|\N|\N|f|f
39.2-[1,2,3,6]|PENDING_GENERATION|39|78|1|1|1,2,3,6|2|6|\N|f|f
39.2-[1,2,39,78]|PENDING_GENERATION|39|78|1|1|1,2,39,78|0|\N|\N|f|f
39.2-[1,26]|PENDING_GENERATION|39|78|1|1|1,26|4|0|0|\N|f
39.2-[1,2]|PENDING_GENERATION|39|78|1|1|1,2|4|0|0|\N|f
39.2-[1,3,13,39]|PENDING_GENERATION|39|78|1|1|1,3,13,39|0|\N|\N|f|f
39.2-[1,3,26,78]|PENDING_GENERATION|39|78|1|1|1,3,26,78|2|2|\N|f|f
39.2-[1,39]|PENDING_GENERATION|39|78|1|1|1,39|0|\N|\N|f|f
39.2-[1,3]|PENDING_GENERATION|39|78|1|1|1,3|4|0|0|\N|f
39.2-[1,6,13,78]|PENDING_GENERATION|39|78|1|1|1,6,13,78|1|2|\N|f|f
39.2-[1,6,26,39]|PENDING_GENERATION|39|78|1|1|1,6,26,39|0|\N|\N|f|f
39.2-[1,6]|PENDING_GENERATION|39|78|1|1|1,6|3|4|\N|f|f
39.2-[1,78]|PENDING_GENERATION|39|78|1|1|1,78|3|0|0|\N|f
51.1-[1,17]|PENDING_GENERATION|51|51|1|1|1,17|2|3|\N|f|f
51.1-[1,3,17,51]|PENDING_GENERATION|51|51|1|1|1,3,17,51|0|\N|\N|f|f
51.1-[1,3]|PENDING_GENERATION|51|51|1|1|1,3|1|1|\N|f|f
51.1-[1,51]|PENDING_GENERATION|51|51|1|1|1,51|0|\N|\N|f|f
55.1-[1,11]|PENDING_GENERATION|55|55|1|1|1,11|2|0|0|\N|f
55.1-[1,5,11,55]|PENDING_GENERATION|55|55|1|1|1,5,11,55|0|\N|\N|f|f
55.1-[1,55]|PENDING_GENERATION|55|55|1|1|1,55|0|\N|\N|f|f
55.1-[1,5]|PENDING_GENERATION|55|55|1|1|1,5|1|0|0|\N|f
57.1-[1,19]|PENDING_GENERATION|57|57|1|1|1,19|0|0|0|\N|f
57.1-[1,3,19,57]|PENDING_GENERATION|57|57|1|1|1,3,19,57|0|\N|\N|f|f
57.1-[1,3]|PENDING_GENERATION|57|57|1|1|1,3|2|1|\N|f|f
57.1-[1,57]|PENDING_GENERATION|57|57|1|1|1,57|1|2|\N|f|t
58.1-[1,2,29,58]|PENDING_GENERATION|58|58|1|1|1,2,29,58|0|\N|\N|f|f
