



1.41.ad|{y^2=x^3+26*x+26,y^2=x^3+3*x+9,y^2=x^3+8*x+8,y^2=x^3+x+3}
1.41.h|{y^2=x^3+28*x+28,y^2=x^3+9*x+27}
1.41.am|{y^2=x^3+7*x+7,y^2=x^3+25*x+34}
1.41.a|{y^2=x^3+39*x+39,y^2=x^3+30*x+8,y^2=x^3+23*x+28,y^2=x^3+17*x+17,y^2=x^3+38*x+38,y^2=x^3+1,y^2=x^3+14*x+1,y^2=x^3+6}
1.41.l|{y^2=x^3+4*x+4}
1.41.e|{y^2=x^3+36*x+36,y^2=x^3+5*x+15}
1.41.aj|{y^2=x^3+32*x+14,y^2=x^3+20*x+19,y^2=x^3+34*x+20}
1.41.ae|{y^2=x^3+37*x+29,y^2=x^3+37*x+37}
1.41.i|{y^2=x^3+28*x+2,y^2=x^3+35*x+23}


(g, q)= (1,43)
1.43.h|{y^2=x^3+23*x+3,y^2=x^3+31*x+31}
1.43.a|{y^2=x^3+29*x+15,y^2=x^3+3*x,y^2=x^3+18*x+18,y^2=x^3+x}
1.43.l|{y^2=x^3+12*x+24,y^2=x^3+35*x+27}
1.43.ai|{y^2=x^3+2*x+2,y^2=x^3+6*x+6,y^2=x^3+14*x+28,y^2=x^3+11*x+22,y^2=x^3+42*x+42,y^2=x^3+1}
1.43.ad|{y^2=x^3+24*x+24}
1.43.e|{y^2=x^3+21*x+21,y^2=x^3+40*x+40,y^2=x^3+28*x+28,y^2=x^3+x+2,y^2=x^3+15*x+30,y^2=x^3+17*x+34,y^2=x^3+12*x+12,y^2=x^3+18*x+36}
1.43.am|{y^2=x^3+8*x+8,y^2=x^3+37*x+37}
1.43.i|{y^2=x^3+2,y^2=x^3+39*x+35,y^2=x^3+35*x+35,y^2=x^3+24*x+5,y^2=x^3+8*x+16,y^2=x^3+25*x+25}
1.43.b|{y^2=x^3+16*x+16,y^2=x^3+7*x+14,y^2=x^3+36*x+29,y^2=x^3+28*x+13,y^2=x^3+33*x+33}
1.43.m|{y^2=x^3+19*x+38,y^2=x^3+32*x+21}
1.43.aj|{y^2=x^3+6*x+12,y^2=x^3+30*x+30}
1.43.ae|{y^2=x^3+26*x+26,y^2=x^3+31*x+19,y^2=x^3+41*x+39,y^2=x^3+11*x+11,y^2=x^3+15*x+15,y^2=x^3+5*x+10,y^2=x^3+36*x+36,y^2=x^3+26*x+9}
1.43.f|{y^2=x^3+2*x+4,y^2=x^3+42*x+41}
1.43.j|{y^2=x^3+23*x+23,y^2=x^3+34*x+25}
1.43.ab|{y^2=x^3+34*x+34,y^2=x^3+7*x+7,y^2=x^3+21*x+42,y^2=x^3+9*x+9,y^2=x^3+3*x+6}
1.43.c|{y^2=x^3+27*x+27,y^2=x^3+20*x+20,y^2=x^3+33*x+23,y^2=x^3+14*x+14}
1.43.ak|{y^2=x^3+x+1,y^2=x^3+20*x+40,y^2=x^3+9*x+18}
1.43.af|{y^2=x^3+22*x+22,y^2=x^3+32*x+32}
1.43.g|{y^2=x^3+39*x+39,y^2=x^3+29*x+29,y^2=x^3+25*x+7,y^2=x^3+10*x+10}
1.43.k|{y^2=x^3+4*x+8,y^2=x^3+5*x+5,y^2=x^3+13*x+13}
1.43.ah|{y^2=x^3+38*x+33,y^2=x^3+38*x+38}
1.43.ac|{y^2=x^3+22*x+1,y^2=x^3+37*x+31,y^2=x^3+13*x+26,y^2=x^3+19*x+19}
1.43.d|{y^2=x^3+10*x+20}
1.43.al|{y^2=x^3+3*x+3,y^2=x^3+41*x+41}
1.43.ag|{y^2=x^3+27*x+11,y^2=x^3+17*x+17,y^2=x^3+30*x+17,y^2=x^3+40*x+37}


(g, q)= (1,47)
1.47.ag|{y^2=x^3+32*x+19,y^2=x^3+11*x+11,y^2=x^3+45*x+37,y^2=x^3+41*x+41,y^2=x^3+x+5,y^2=x^3+8*x+40}
1.47.c|{y^2=x^3+8*x+8,y^2=x^3+16*x+33,y^2=x^3+29*x+29,y^2=x^3+19*x+19}
1.47.n|{y^2=x^3+27*x+41}
